raceId,year,round,driverId,nationality,Starting position,positionOrder,circuitId,alt,Average pit stops (Last Year),Top 3 Finish,Driver Podium rate (Last Year),Driver podium rate (This Year until last race),last_race_result,Avg Driver position (Last Year),Avg Team position (Last Year),Avg driver position (This Year until last race),Avg Team position (This Year until last race),Yearofbirth,Age at race start,Experience,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,constructor_redbull,constructor_mclaren,constructor_ferrari,constructor_mercedes
833,1950,1,579,Argentine,3,12,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1911,39,0,0,0,0,0,0,0,0,0,0
833,1950,1,642,Italian,1,1,9,153,24538.8488372093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1906,44,0,0,0,0,0,0,0,0,0,0
833,1950,1,786,Italian,2,2,9,153,24538.8488372093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1898,52,0,0,0,0,0,0,0,0,0,0
833,1950,1,686,British,4,3,9,153,24538.8488372093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1911,39,0,0,0,0,0,0,0,0,0,0
833,1950,1,589,Monegasque,11,18,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1899,51,0,0,0,0,0,0,0,0,0,0
833,1950,1,669,Thai,5,14,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914,36,0,0,0,0,0,0,0,0,0,0
833,1950,1,640,Swiss,8,17,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914,36,0,0,0,0,0,0,0,0,0,0
833,1950,1,747,British,18,15,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1909,41,0,0,0,0,0,0,0,0,0,0
833,1950,1,778,British,20,10,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915,35,0,0,0,0,0,0,0,0,0,0
833,1950,1,784,British,16,9,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1917,33,0,0,0,0,0,0,0,0,0,0
833,1950,1,788,British,20,10,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915,35,0,0,0,0,0,0,0,0,0,0
833,1950,1,627,French,9,5,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1905,45,0,0,0,0,0,0,0,0,0,0
833,1950,1,660,Belgian,21,11,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916,34,0,0,0,0,0,0,0,0,0,0
833,1950,1,741,French,14,8,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1896,54,0,0,0,0,0,0,0,0,0,0
833,1950,1,704,French,6,4,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1904,46,0,0,0,0,0,0,0,0,0,0
833,1950,1,789,French,7,19,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915,35,0,0,0,0,0,0,0,0,0,0
833,1950,1,619,British,13,6,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914,36,0,0,0,0,0,0,0,0,0,0
833,1950,1,787,British,15,7,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1906,44,0,0,0,0,0,0,0,0,0,0
833,1950,1,666,British,10,20,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1918,32,0,0,0,0,0,0,0,0,0,0
833,1950,1,661,British,10,20,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1912,38,0,0,0,0,0,0,0,0,0,0
833,1950,1,790,British,12,21,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1912,38,0,0,0,0,0,0,0,0,0,0
833,1950,1,776,Irish,19,13,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1913,37,0,0,0,0,0,0,0,0,0,0
833,1950,1,785,British,17,16,9,153,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1921,29,0,0,0,0,0,0,0,0,0,0
834,1950,2,633,Italian,6,8,6,7,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1909,41,0,0,0,0,0,0,0,0,0,0
834,1950,2,647,Italian,7,2,6,7,24538.8488372093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1918,32,0,0,0,0,0,0,0,0,0,0
834,1950,2,793,French,9,4,6,7,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1906,44,0,0,0,0,0,0,0,0,0,0
834,1950,2,687,British,21,20,6,7,24538.8488372093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914,36,0,0,0,0,0,0,0,0,0,0
